category,total_satisfied,total_dissatisfied,total_sentiment,satisfied_%,dissatisfied_%
Computers&Accessories,291,5,448,64.95535714285714,1.1160714285714286
Electronics,226,17,521,43.37811900191939,3.262955854126679
Home&Kitchen,258,10,437,59.03890160183066,2.2883295194508007
OfficeProducts,22,1,30,73.33333333333333,3.3333333333333335
